LOCATION,ZIPCODE,REPORTED_DATE,WIND_AVG,PRECIPITATION,SNOW,SNOWDEPTH,TEMP_MAX,TEMP_MIN
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-02,11,0.54,4.73,4.09,43,32
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-03,6,0.67,3.13,1.21,42,32
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-04,14,0.25,1.43,4.29,43,32
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-05,12,0.0,0.0,0.0,31,21
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-06,13,0.0,0.0,0.0,24,16
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-07,12,0.0,0.0,0.0,37,17
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-08,5,0.0,0.0,0.0,44,22
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-09,5,0.0,0.0,0.0,45,30
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-10,9,0.79,0.2,0.0,43,37
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-11,13,0.0,0.0,0.0,47,33
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-12,16,0.0,0.0,0.0,51,39
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-13,5,0.0,0.0,0.0,47,28
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-14,5,0.0,0.0,0.0,46,36
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-15,14,0.58,0.0,0.0,86,50
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-16,16,0.0,0.0,0.0,50,33
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-17,9,0.0,0.0,0.0,43,28
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-18,6,0.0,0.0,0.0,47,30
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-19,6,0.0,0.0,0.0,48,27
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-20,6,0.0,0.0,0.0,49,32
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-21,9,1.0,0.0,0.0,48,42
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-22,22,0.46,0.0,0.0,53,40
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-23,16,0.0,0.0,0.0,40,28
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-24,11,0.0,0.0,0.0,66,33
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-25,11,0.0,0.0,0.0,61,47
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-26,14,0.0,0.0,0.0,49,31
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-27,7,0.0,0.0,0.0,40,26
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-28,5,0.0,0.0,0.0,42,26
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-29,6,0.0,0.0,0.0,58,46
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-30,9,0.0,0.0,0.0,73,52
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-03-31,13,0.03,0.0,0.0,59,35
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-01,18,0.0,0.0,0.0,56,37
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-02,7,0.0,0.0,0.0,48,34
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-03,15,0.0,0.0,0.0,55,33
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-04,13,0.0,0.0,0.0,58,39
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-05,8,0.15,0.0,0.0,38,35
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-06,9,0.0,0.0,0.0,75,43
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-07,6,0.0,0.0,0.0,61,45
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-08,12,0.29,0.0,0.0,90,57
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-09,7,0.02,0.0,0.0,59,51
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-10,12,0.0,0.0,0.0,54,39
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-11,7,0.0,0.0,0.0,50,36
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-12,7,0.55,0.0,0.0,68,45
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-13,10,0.14,0.0,0.0,67,52
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-14,6,0.02,0.0,0.0,77,60
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-15,20,1.06,0.0,0.0,74,49
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-16,17,0.0,0.0,0.0,76,42
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-17,7,0.0,0.0,0.0,54,44
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-18,9,0.0,0.0,0.0,75,60
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-19,19,0.08,0.0,0.0,95,75
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-20,10,0.53,0.0,0.0,72,55
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-21,8,0.0,0.0,0.0,70,57
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-22,9,0.08,0.0,0.0,58,45
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-23,8,0.01,0.0,0.0,87,62
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-24,12,0.0,0.0,0.0,75,58
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-25,6,0.02,0.0,0.0,60,44
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-26,7,0.66,0.0,0.0,50,42
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-27,17,0.02,0.0,0.0,55,41
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-28,8,0.0,0.0,0.0,50,40
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-29,9,0.01,0.0,0.0,64,40
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-04-30,4,0.02,0.0,0.0,52,40
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-05-01,6,0.01,0.0,0.0,51,46
